iter	RMSE
0	0.4002411042
1	0.3975312993
2	0.3948379657
3	0.3922317086
4	0.3896635986
5	0.3869430871
6	0.3842070932
7	0.3816944808
8	0.3792479755
9	0.3766591066
10	0.3740524585
11	0.3716361316
12	0.3691868778
13	0.3666454411
14	0.3642614521
15	0.3620259616
16	0.3598345854
17	0.3575878764
18	0.3552966685
19	0.353144563
20	0.3509110498
21	0.3485870377
22	0.346467951
23	0.3442919858
24	0.3421262508
25	0.3400226935
26	0.3379071855
27	0.3359539098
28	0.3338555269
29	0.3318189594
30	0.3297370293
31	0.3277048179
32	0.3257020843
33	0.3238026241
34	0.3218670139
35	0.3198863895
36	0.3181167276
37	0.3162128732
38	0.314350373
39	0.3125769888
40	0.3108296571
41	0.3090387818
42	0.30733575
43	0.3055362529
44	0.3037154839
45	0.301988954
46	0.3003686995
47	0.2986691879
48	0.2969773247
49	0.2952780897
50	0.2936467709
51	0.2920551738
52	0.2904380035
53	0.2888846342
54	0.2873480842
55	0.2857618604
56	0.2842178504
57	0.2827170186
58	0.2812083349
59	0.2797350906
60	0.2784133869
61	0.2769799275
62	0.2755345713
63	0.2741516883
64	0.2727402727
65	0.2713097278
66	0.2699148457
67	0.268593621
68	0.267273274
69	0.2659840111
70	0.2646928495
71	0.2635530474
72	0.2622916579
73	0.2610141301
74	0.2597553122
75	0.2585049271
76	0.2573251591
77	0.2561017002
78	0.2549025246
79	0.2537562754
80	0.2525482289
81	0.2514170564
82	0.2502892805
83	0.2492413698
84	0.2482498265
85	0.2471492835
86	0.2460704123
87	0.2450361528
88	0.2439819003
89	0.2429011404
90	0.2419611397
91	0.2409280997
92	0.2399463244
93	0.238971549
94	0.2379465773
95	0.2369489269
96	0.2360648755
97	0.2351613368
98	0.234253798
99	0.2332987004
100	0.2323510942
101	0.2315334596
102	0.2306527326
103	0.2297417471
104	0.2288527326
105	0.2280281344
106	0.2272124165
107	0.2263446411
108	0.22548987
109	0.2246886813
110	0.2238771846
111	0.2230663692
112	0.2222502217
113	0.2214888658
114	0.2207562619
115	0.2199902048
116	0.219183295
117	0.218444654
118	0.2176602843
119	0.2169463795
120	0.2162212788
121	0.215531432
122	0.2148658428
123	0.2141928213
124	0.2135230012
125	0.2128714865
126	0.2122056188
127	0.2115412064
128	0.2108210981
129	0.2101656185
130	0.2094815539
131	0.2088676571
132	0.2082194493
133	0.2075664054
134	0.20698061
135	0.2064110536
136	0.2058645668
137	0.2052689926
138	0.204662804
139	0.2040499397
140	0.203493978
141	0.202958634
142	0.2024188903
143	0.2018462299
144	0.2013223991
145	0.2007864549
146	0.2002733185
147	0.199756039
148	0.1992133775
149	0.1986689301
150	0.1981723917
151	0.1976493311
152	0.1971461586
153	0.1966688226
154	0.1961951575
155	0.1957130978
156	0.1952009368
157	0.1947508784
158	0.1943158522
159	0.1938598924
160	0.1934676557
161	0.1930266747
162	0.1926109505
163	0.1921568622
164	0.1917120741
165	0.1912916005
166	0.1909070876
167	0.1904886322
168	0.1901066564
169	0.1897013997
170	0.1892888863
171	0.1889364508
172	0.1885127008
173	0.1881367198
174	0.1878055216
175	0.1874112757
176	0.1870554246
177	0.1866762991
178	0.1863378593
