iter	Passed	Remaining
0	1	771
1	2	710
2	4	682
3	5	665
4	6	651
5	7	648
6	9	645
7	10	640
8	11	650
9	13	656
10	14	654
11	15	649
12	17	646
13	18	642
14	19	639
15	21	636
16	22	634
17	23	632
18	25	637
19	26	642
20	28	641
21	29	639
22	30	637
23	31	634
24	33	632
25	34	630
26	35	627
27	37	626
28	38	629
29	40	630
30	41	629
31	42	627
32	44	625
33	45	622
34	46	619
35	47	617
36	49	615
37	50	613
38	52	614
39	53	615
40	55	616
41	56	616
42	57	614
43	59	613
44	60	610
45	61	608
46	63	610
47	64	611
48	66	609
49	67	607
50	68	605
51	70	603
52	71	601
53	72	599
54	73	597
55	75	595
56	76	594
57	78	595
58	79	593
59	80	591
60	81	589
61	83	587
62	84	585
63	85	584
64	86	582
65	88	579
66	89	580
67	91	581
68	92	579
69	94	577
70	95	575
71	96	574
72	97	572
73	99	570
74	100	568
75	101	566
76	103	565
77	104	565
78	106	565
79	107	564
80	108	562
81	110	560
82	111	559
83	112	557
84	113	555
85	114	553
86	116	552
87	117	551
88	119	550
89	120	548
90	121	546
91	122	545
92	124	543
93	125	541
94	126	539
95	127	537
96	129	537
97	130	537
98	132	536
99	133	534
100	134	533
101	136	531
102	137	529
103	138	528
104	139	526
105	141	524
106	142	523
107	144	523
108	145	522
109	147	521
110	148	520
111	150	521
112	151	520
113	153	518
114	154	517
115	156	516
116	157	515
117	158	513
118	159	512
119	161	510
120	162	508
121	163	507
122	164	505
123	166	504
124	167	502
125	169	502
126	170	501
127	172	500
128	173	498
129	174	497
130	175	495
131	177	494
132	178	492
133	179	490
134	180	489
135	182	488
136	184	488
137	185	487
138	187	486
139	188	484
140	189	482
141	190	481
142	192	479
143	193	478
144	195	477
145	196	476
146	198	475
147	199	474
148	200	472
149	201	471
150	203	469
151	204	468
152	205	466
153	206	464
154	208	464
155	210	464
156	212	463
157	213	462
158	215	461
159	216	460
160	218	459
161	219	458
162	222	459
163	224	459
164	226	458
165	227	457
166	229	457
167	230	456
168	232	455
169	235	458
170	237	457
171	239	456
172	240	455
173	242	453
174	243	452
175	245	451
176	247	451
177	248	450
178	250	449
179	252	448
180	253	447
181	255	445
182	256	444
183	258	444
184	260	443
185	262	442
186	263	441
187	265	440
188	266	439
189	268	437
190	269	436
191	271	435
192	273	434
193	275	434
194	276	432
195	278	431
196	279	430
197	281	428
198	282	427
199	284	426
200	286	425
201	288	424
202	289	423
203	291	422
204	292	421
205	294	419
206	295	418
207	297	417
208	299	416
209	300	415
210	302	414
211	303	412
212	305	411
213	306	410
214	308	408
215	309	407
216	312	406
217	313	405
218	315	404
219	316	403
220	318	401
221	319	400
222	321	399
223	323	398
224	325	397
225	326	396
226	328	394
227	329	393
228	331	392
229	332	390
230	334	389
231	336	388
232	338	387
233	339	386
234	341	384
235	342	383
236	344	382
237	345	380
238	347	379
239	349	378
240	350	377
241	352	376
242	354	374
243	356	373
244	357	372
245	359	370
246	360	369
247	362	368
248	363	366
249	365	365
250	367	364
251	368	362
252	369	361
253	371	359
254	372	357
255	374	356
256	375	355
257	376	353
258	378	351
259	379	350
260	380	348
261	381	346
262	383	345
263	384	343
264	385	341
265	386	340
266	388	339
267	389	337
268	391	335
269	392	334
270	393	332
271	394	331
272	396	329
273	397	327
274	398	326
275	400	324
276	401	323
277	402	321
278	404	320
279	405	318
280	406	316
281	407	315
282	409	313
283	410	312
284	411	310
285	412	308
286	414	307
287	415	306
288	417	304
289	418	302
290	419	301
291	420	299
292	422	298
293	423	296
294	424	295
295	425	293
296	427	292
297	428	290
298	429	289
299	431	287
300	432	285
301	433	284
302	435	282
303	436	281
304	437	279
305	438	278
306	440	276
307	442	275
308	443	273
309	444	272
310	445	270
311	446	269
312	448	267
313	449	266
314	450	264
315	451	263
316	453	261
317	454	260
318	456	258
319	457	257
320	459	256
321	460	254
322	461	252
323	462	251
324	464	249
325	465	248
326	467	247
327	468	245
328	469	244
329	470	242
330	472	241
331	473	239
332	474	238
333	475	236
334	477	234
335	478	233
336	480	232
337	481	230
338	482	229
339	483	227
340	485	226
341	486	224
342	487	223
343	488	221
344	490	220
345	491	218
346	492	217
347	493	215
348	495	214
349	496	212
350	497	211
351	498	209
352	500	208
353	501	206
354	502	205
355	503	203
356	505	202
357	507	201
358	508	199
359	510	198
360	511	196
361	512	195
362	513	193
363	514	192
364	516	190
365	517	189
366	519	188
367	520	186
368	522	185
369	523	184
370	525	182
371	527	181
372	528	179
373	530	178
374	531	177
375	533	175
376	534	174
377	536	173
378	537	171
379	539	170
380	540	168
381	542	167
382	544	166
383	546	165
384	547	163
385	549	162
386	551	160
387	552	159
